sepal_length,sepal_width,petal_length,petal_width,plant_id,leaf_area,plant_age,flower_count
4.860919613949955,2.771105890348554,5.743935220106505,1.77769571300596,6762,19.064082084223628,5,6.142266656039283
7.866497956309468,2.9080097790807486,5.572428646683694,2.2105031941086053,7248,23.636702588992193,3,4.987495269626379
7.7250068777240815,4.370048658177257,2.493894250295125,0.46944349110126493,7968,21.100786911556497,7,9.801514774793759
6.703001138195395,4.302353110164404,5.9392674208851535,2.398108537867665,7682,22.43913286481984,1,9.180283992551267
6.440571876149624,3.3146632842719557,2.2477361832512543,1.7863575030118228,3109,5.945535080973059,10,9.70957833295688
5.910793261229992,2.685588172636926,1.5900501626078039,2.2847133019939063,3668,11.879298196872696,3,8.846855572424829
6.477072544023395,3.852971668355167,6.168371095554903,0.36505631506443026,763,16.053137498674914,3,8.389523653080687
5.829702755250037,3.775975529290736,6.755541828810237,0.9949499731883407,7874,22.304698372026905,4,9.805559361586347
6.8402872757986195,4.1641749564558275,6.1270997180836275,2.0745578207075597,695,13.859209332149476,8,5.110632792813703
5.2153050760738555,2.277537716552615,4.782103926246055,1.798243508860469,5002,27.094473079778254,4,5.616291406797245
7.430555060040206,3.7885004490613943,6.680085461912677,2.489596912637353,9695,14.485168725950643,5,5.713198991958052
4.480503740813583,3.3838878752663737,4.286187307257205,0.6603956712409853,1367,11.071787618566304,4,8.122386395465583
5.554529181588441,3.1882214685902,6.61537448624149,2.3098560297861694,197,14.527997061377391,5,5.332536845933646
6.661807772982866,3.3673812681809068,5.607817719201558,1.7534451834857465,156,23.50134085980244,6,3.3344741947948933
6.346362657379359,2.129715656861663,1.8273217894136906,1.2248300887644292,3838,17.248647218802944,10,1.8116494126152247
5.689543577842414,2.6196022652089597,2.785579425375909,1.880515119433403,7642,11.039193639298901,7,1.4944331753067672
4.88865385716781,4.046187242865562,6.566783165489324,1.4852124584838748,473,13.752808446297422,4,9.220973987597972
6.615161534678191,2.8833796784281733,6.295253281551414,1.9701370880007745,3405,5.453191809356213,10,9.208095067646354
6.508321025874466,2.093220695666969,6.089015198708513,1.6156436555087568,1417,19.62458001333289,4,9.973008964210749
5.394237853772938,2.028523208014667,3.752379535138607,2.479562281444669,253,17.60733834351413,7,1.4611927203368396
5.4712951011024415,3.16406435482204,5.623989915428684,0.9839139308780431,2550,20.22502669831738,4,4.853992735268548
5.0635900252498685,2.932557273283601,6.084437056444585,0.33236743696033955,1675,7.845306106610224,7,7.316224996233359
5.487668898329138,2.0907468289136886,1.174976527900435,2.113996871188283,8290,18.545784406596795,4,7.097967102425173
4.426561537757515,2.30722806211561,5.2422513463534415,2.377971216663718,6327,9.633157944772393,1,9.230197008466348
4.813156573381275,3.43689979352057,5.750284058577382,1.326345619186759,3601,27.936361999018118,7,7.014375945320353
7.182078888174146,2.303752155601978,5.102395869581961,1.9831783413887023,7482,21.61639247322455,1,1.3632911609020084
4.783315943647176,2.9851445101201537,2.588533295202069,0.617886191047728,6425,14.450164285954088,6,7.734559233067557
4.5342649157159025,3.493515934608877,6.539536953088827,0.279647227935493,3725,12.97919359174557,3,7.858238070039079
