category,x_coordinate,y_coordinate,radius,angle,sin_angle,cos_angle,category_label,id
Category1,-0.3324617054313421,-0.156890700571239,1,303.2494559616316,0.871521467808634,-0.2982824435457587,1,860
Category2,-0.5069661792367697,-0.11584573006257415,1,209.13959820917808,0.02833443833515048,0.17194359842687845,1,837
Category1,-0.13532353332266212,-0.41666671074926853,1,130.23350563971326,-0.1558885807171464,-0.4986667577177286,1,686
Category2,0.3450171258300543,0.7982546957209706,1,248.6114969018381,-0.44181598210707307,0.24388508079573512,1,764
Category1,0.019778460264205933,-0.7493547708727419,1,318.21906276093796,-0.48547754995524883,-0.28643277660012245,1,358
Category2,0.9878184190019965,0.09438837273046374,1,60.583548202877864,-0.18674170458689332,-0.8833654243499041,1,171
Category1,0.23861314496025443,-0.5942618614062667,1,321.53840721817687,0.30817617243155837,-0.26455176109448075,1,455
Category2,0.48247687285766006,-0.8988584117032588,1,182.56519536394626,0.9222701769322157,0.5265724044293165,1,879
Category1,-0.1512571512721479,-0.7656870833598077,1,327.7452686706092,-0.12930691987276077,-0.7583448020741343,1,386
Category2,0.08691622177138925,-0.10012864461168647,1,346.54832872608677,0.9780812258832157,-0.1475620660930872,1,414
Category1,0.923182315658778,0.2682499592192471,1,259.8135708696209,-0.20785287115722895,-0.6102478308603168,1,616
Category2,-0.12059843214228749,-0.6003613444045186,1,191.47336089075543,0.7821953911334276,0.6270241560414433,1,450
Category1,-0.5962705942802131,-0.7915487098507583,1,154.31674187537283,0.6113997828215361,-0.8153185173869133,1,882
Category2,-0.5747764618135989,0.5926551460288465,1,135.48585881548934,0.7998807304538786,-0.3025293149985373,1,383
Category1,0.29062742087990046,-0.7223347271792591,1,11.468058566795662,-0.10268779471516609,0.5555576579645276,1,469
Category2,-0.39320876356214285,0.49457762762904167,1,278.997504406143,0.14673564210534096,-0.176416190341115,1,345
Category1,-0.8203104166314006,-0.19899908592924476,1,77.73892772407271,0.8030243492685258,0.6640157611109316,1,291
Category2,-0.07903205836191773,-0.5208376799710095,1,56.28600563504733,-0.02805515006184578,0.6296832086518407,1,240
Category1,0.3576746401377022,0.5800597732886672,1,189.33819108782336,-0.13004243653267622,0.30262244399636984,1,999
Category2,-0.6613478632643819,0.996266889385879,1,265.1331016900949,-0.9254573974758387,-0.9108854900114238,1,591
Category1,0.7660372597165406,0.8680701274424791,1,272.3440455591772,0.5057463184930384,-0.722135289106518,1,848
Category2,0.9320235108025372,0.6474968404509127,1,233.50186959118582,0.7165280492044985,-0.29030810622498393,1,281
Category1,0.2909338637255132,-0.18953286577016115,1,343.2226535335649,-0.1852423013187945,0.055066314060240984,1,154
Category2,-0.8719708942808211,0.9008757653646171,1,341.7720524605829,0.4863576558418572,-0.9571008589118719,1,876
Category1,-0.10597620019689202,0.8439865303225815,1,11.680551239987835,-0.8505368256010115,0.217725221067667,1,991
Category2,-0.07625932712107897,0.561561415437609,1,279.2777460357174,0.8492921823635697,0.4429354202002287,1,810
Category1,0.5305475229397416,-0.21553926123306155,1,310.3215293819085,0.16745898220688105,0.14094323990866542,1,850
Category2,0.16682051587849855,0.30573019525036216,1,21.966667806496844,-0.6098340577445924,0.29607145907357335,1,525
Category1,0.9621337568387389,0.5934012150391936,1,162.4445189619437,-0.48762127105146646,0.27351054176688194,1,682
Category2,0.2733323439024389,0.05949743604287505,1,133.1161866716575,0.5264258878305554,0.38382958248257637,1,984
Category1,-0.17922602407634258,-0.07233834313228726,1,278.9210845516063,0.4080683537758887,0.5402350751683116,1,441
Category2,0.9580539679154754,0.05632480513304472,1,29.03361889719963,-0.1469872542656958,-0.36166506819427013,1,556
Category1,0.9952868577092886,0.5484353518113494,1,74.15709091629833,-0.09888848336413503,-0.9087551333941519,1,82
Category2,0.3189824507571757,-0.5400655246339738,1,275.270416011801,0.2779884892515838,-0.5316952527500689,1,829
Category1,0.17085066298022866,-0.7255737306550145,1,329.8022292056121,-0.7436799919232726,-0.6436408217996359,1,527
Category2,0.2210333412513137,0.8681395524181426,1,158.31049933913164,0.06089022336527705,-0.916673569008708,1,184
Category1,0.6089718514122069,-0.5611202674917877,1,194.5344112815801,0.4522407175973058,0.17394430981948972,1,448
Category2,-0.2205047751776874,-0.7394712097011507,1,323.68535506911576,0.459292602725327,0.2730381297878921,1,512
Category1,-0.7581273056566715,0.7927678367123008,1,183.70807985588908,-0.15232515195384622,-0.1589457211084664,1,805
Category2,-0.6902758246287704,-0.9321238272823393,1,6.42678595893085,0.16920580621808767,0.4517564564011991,1,925
Category1,0.0665201055817306,-0.21113092126324773,1,354.3334945838433,0.21842143032699823,0.10293998755514622,1,216
Category2,-0.9246030407957733,0.5489306561648846,1,32.55604296759702,0.9688999434001744,0.8957845130935311,1,909
Category1,-0.7575022270902991,-0.08668729569762945,1,168.4334713553544,0.9128415579907596,0.36792796989902854,1,930
Category2,0.6629896252416074,-0.16865369910374284,1,16.78955073747784,-0.09896340128034353,0.868898015934974,1,618
Category1,0.5279725296422839,-0.08301332825794816,1,287.5813866504468,0.9836057783104479,-0.3104014261625707,1,232
Category2,0.8105795001611114,-0.6691221720539033,1,241.82209772034548,0.23669098131358624,-0.07574528129771352,1,153
Category1,-0.5268892426975071,0.26610966539010406,1,144.0161728367675,0.24418552173301578,0.403018060605973,1,180
Category2,0.8671774952672422,0.8772446024231613,1,297.8940651563462,-0.0718720001168549,0.2636812557466328,1,481
Category1,0.2786119063384831,0.35483596473932266,1,70.080919213593,-0.32942711468786,-0.8928466937504709,1,924
