alcohol_content,acidity,sugar_content,tannin_level,wine_color,wine_age,wine_country,wine_region
8.06424757419154,0.5497903396375478,1.9665798018686473,1,#762d16,1,Ukraine,North Devin
8.582623402005993,0.5504293416626751,10.033528362866491,5,#ad5eac,4,Libyan Arab Jamahiriya,North Jaimebury
12.26275550329592,0.5845463698031381,9.763492060825229,3,#84a96c,39,Singapore,North Carmellaview
10.707827849662863,0.9107841619523243,4.276117430534214,3,#dc31e8,13,Nauru,Port Anna
14.458615357405506,0.6020838350988924,14.57875661086291,4,#3432e7,21,Austria,Miracletown
10.440858441404998,0.6901835481636226,5.1909868298098445,4,#dfaded,5,Republic of Korea,South Elisachester
10.329828380024992,0.6462382753612473,12.415707733482122,6,#e4bf8a,26,Cayman Islands,Baltimore
11.346940588671714,1.0975443895440549,1.8952633566223085,6,#c71ed4,21,Mexico,Macejkovicfort
8.752451054286212,0.7232838132651522,6.228747870773077,1,#75d1aa,28,Saint Martin,Matildeside
12.783264787402004,0.9051188933197409,13.059471075888723,6,#234359,45,Paraguay,New Oriefort
12.961871210252866,0.896309530781582,1.3282154775224626,7,#d81ccd,40,Aruba,Rancho Santa Margarita
10.499732700525783,0.9209803478326648,14.624417803715914,8,#91ee5e,46,Northern Mariana Islands,Denver
13.364326614653692,1.081539714592509,6.969242271967232,7,#827c8e,43,Somalia,Jazminville
9.326538598514162,1.1566739530535415,4.533245872240514,2,#daecb8,13,Falkland Islands (Malvinas),Rogahnview
9.56771364447195,0.5841345367021858,14.356717915739864,4,#a76a9c,30,Kiribati,East Gretatown
14.792897823615931,1.053590379632078,1.282702796626836,6,#4d7cfc,22,Central African Republic,Breitenbergboro
14.139797797659412,0.8863092947285622,2.518461282365024,2,#d1a3cc,18,Denmark,Cedar Park
13.558660973329097,0.8236843016231432,14.946484685409814,1,#c17db0,35,Cambodia,Redwood City
9.131484433426522,0.9560912789078428,13.781318554189056,9,#28c0ae,43,Falkland Islands (Malvinas),Cadenfurt
11.34651843586471,0.616735389479436,6.980008448474109,1,#c087bd,11,Guinea-Bissau,South Alberto
12.148439201526344,0.6928800320951268,12.681674822233617,6,#84a814,9,Isle of Man,Milpitas
12.857487966655754,0.9647778569255023,14.639769098255783,8,#fbddbf,2,Mauritius,South Madalynfurt
14.092264899634756,0.7505666945828124,9.505662068724632,8,#cf5b35,29,Turkey,Oberbrunnerfurt
