duration,category,src_bytes,dst_bytes,land,wrong_fragment
1893,,138829382,520853685,1,1.3583690044470131
22458,,53768321,472379299,1,2.2778338552452624
1004,,1043931051,1107062966,1,1.0998532115481794
3477,,536918283,585390347,1,1.8734786207787693
43470,,336090677,143130670,1,1.1731470725499094
30780,,1336035642,724710895,1,1.7244559228420258
43111,,1062483508,991891820,1,2.7299785995855927
14764,,531648067,704219381,1,1.768946352880448
24170,,1173755341,1204596280,1,1.8561396431177855
32084,,1375369438,1122275184,1,1.169281080365181
30473,,393794992,390709666,1,2.266992600634694
49589,,84140740,928397674,1,2.1363868974149227
51633,,808214650,887031511,1,2.5757673657499254
42861,,565354849,1249119772,1,1.7378400284796953
25269,,1089275453,1250524455,1,1.8923842925578356
38945,,497846166,315737580,1,1.70315723400563
6435,,654341699,851402087,1,2.2076184968464077
37914,,888018355,773788939,1,1.0670675220899284
35964,,34012434,923363339,1,2.6943447971716523
25526,,71531932,778929233,1,2.3305876324884593
50378,,1071597367,1185870594,1,2.7369825579226017
11116,,956050932,150438751,1,2.0693520149216056
12484,,652612390,557867141,1,1.5140615603886545
1855,,1333857983,773301386,1,2.026525870896876
41448,,827571740,163341765,1,1.7988095367327332
13738,,1029783932,898325755,1,2.1787322596646845
27734,,323718206,1180444122,1,1.5687453858554363
11831,,1251057501,874317844,1,1.8840299909934402
6410,,126684839,1229212813,1,1.3034709375351667
51350,,326816809,722131642,1,1.8816885696724057
18161,,417208533,150968224,1,2.093494483269751
25756,,716471746,755148123,1,1.0537856039591134
35249,,600477877,222364735,1,1.3794524427503347
48879,,923836420,993870205,1,1.2595461960881948
21448,,385941404,1001011501,1,2.755478923674673
33475,,542649432,124859633,1,2.380445458460599
30030,,15686066,135345182,1,1.3851673495955765
16876,,1282704035,1113238407,1,2.433442421723157
4461,,119796449,1211681002,1,2.158365593291819
362,,1024357305,120554822,1,1.7172682248055935
20337,,525186360,365069393,1,2.897336904425174
54009,,1036078137,582326596,1,1.507009420543909
31716,,459703846,384156427,1,1.9652826450765133
8318,,49827905,751241476,1,2.7096822280436754
34404,,1181706979,539993389,1,1.7796091018244624
20168,,921216197,28308042,1,2.8515199166722596
20889,,100027059,313531269,1,1.7447358346544206
47026,,1167226245,1147520302,1,2.699891410768032
23638,,1093099452,969378511,1,1.169385225046426
12627,,1178461492,346705222,1,1.1114123109728098
18095,,875012564,939149632,1,2.1516328235156834
52541,,814785386,7065065,1,1.862792576663196
1436,,175648361,769533265,1,2.3146954579278827
174,,702858613,1107724268,1,1.0498378383927047
6076,,277963001,1255134017,1,1.5161741329357028
44897,,989093653,188262013,1,2.142058778554201
6394,,1172057037,546698910,1,1.6158589874394238
38396,,356276998,784363499,1,1.591240890789777
42598,,154094410,449451034,1,1.7703687665052712
21345,,712476961,496446835,1,1.9119491064921021
31011,,540715943,268490366,1,1.2645430224947631
40230,,114688952,678642028,1,2.1526850145310163
12699,,176272711,1270551604,1,1.4924087491817772
30035,,651506028,549780385,1,2.734560488257557
45763,,730257183,1163040266,1,1.8842892162501812
130,,200659563,903338078,1,1.328460411168635
28503,,891752508,533042201,1,1.596661978866905
6740,,168891616,408793776,1,1.3737359307706356
55741,,650941524,24129654,1,2.2535865269601345
53068,,74528380,558360925,1,2.524389405734837
57182,,577845306,1063220389,1,1.8238051529042423
46903,,1316536825,943791971,1,1.686870709527284
12654,,286713653,835469748,1,2.2877711839973927
4474,,378288556,686457363,1,1.0882863919250667
29753,,800551500,939193868,1,1.7219237433746457
29360,,45447667,541238950,1,2.438357839360833
21651,,528154648,951165055,1,1.595153140835464
28103,,550810499,178130664,1,1.849243979435414
20711,,251693815,722272793,1,2.707948772236705
43985,,905551664,666779231,1,1.6386854858137667
7,,1229658980,739433301,1,1.2544004926458001
42490,,667108959,1129092545,1,1.032179104629904
9125,,1150638844,1098528671,1,1.9387864409945905
36808,,1320552618,525138190,1,1.2632222948595881
15131,,1268445125,318829517,1,2.550866298377514
58287,,311154032,560414211,1,2.9700811984948814
11365,,163245260,1027333981,1,2.93524118186906
50554,,1340394931,166203424,1,2.4047262999229133
14125,,1164006566,242354921,1,2.8698260174132884
8244,,1104625852,1044558441,1,2.26417786674574
