category,x_coordinate,y_coordinate,category_label,label_noise,radius,angle,x_noise,y_noise
Category1,0.9357557273469865,0.32004583813250065,1,1,1,1.6618096124418973,0.07512889048084617,0.04122587605379521
Category2,-0.1387164331972599,0.09413995919749141,1,1,1,3.7335737097150035,0.020313558401539922,-0.08286712202243507
Category1,-0.6224775244481862,0.5698498929850757,1,1,1,5.016060449229752,0.033889718633145105,0.04584542037919165
Category2,0.8043537032790482,0.19238968286663294,1,1,1,2.1747944333518814,-0.0857191714923829,-0.07596074850298465
Category1,-0.25016187597066164,0.6738703539595008,1,1,1,5.365226174050995,-0.09915943066589535,0.029834096692502504
Category2,0.16172784939408302,0.6098502110689878,1,1,1,3.5393427240455013,0.0013453662861138554,0.048889454221352935
Category1,0.36200146563351154,-0.7341809258796275,1,1,1,3.267261932771279,0.09299850985407829,0.06286598485894501
Category2,-0.7300274884328246,0.6526862038299441,1,1,1,2.6211094722619164,-0.0847084975335747,0.018170210300013423
Category1,0.7106830719858408,0.34850170696154237,1,1,1,3.9178461055501956,0.06959427171386778,-0.07702415641397238
Category2,0.2348656989634037,0.7386921741999686,1,1,1,1.511644411852666,0.08506809100508692,0.09297987991012632
Category1,-0.29960663989186287,-0.5679412242025137,1,1,1,1.142496734648709,0.06496625519357621,-0.04162161140702665
Category2,0.8268830478191376,-0.7998341787606478,1,1,1,4.823651323919501,0.05567529276013375,0.015900235995650297
Category1,0.03493588883429766,0.8001809543929994,1,1,1,1.0161608739674888,-0.026716668764129287,0.025222047185525287
Category2,0.0966307376511395,-0.4538783426396549,1,1,1,2.6329144873015653,0.058694178145378834,-0.035719687724486
Category1,-0.6649001496843994,0.9660763409920037,1,1,1,1.1500542319414935,0.03955775676295162,0.001152485935017461
Category2,-0.5167022789828479,0.31009673327207565,1,1,1,5.940972401700575,0.0808565339073539,0.029656359879299987
Category1,0.6060696579515934,0.1078530098311603,1,1,1,2.854369731192512,-0.0009989813901483957,-0.08016377897001803
Category2,0.5289690215140581,-0.4255400151014328,1,1,1,4.378055494991472,-0.040166921075433494,0.01498836195096373
Category1,0.5594038181006908,-0.3718689987435937,1,1,1,4.639858943874204,-0.09678297899663449,0.06284950748085977
Category2,0.740176981780678,0.3296307483687997,1,1,1,5.694708817143482,0.0812006441410631,0.01733521134592593
Category1,0.3657627231441438,-0.9813306359574199,1,1,1,1.2436105947105116,-0.025044915359467276,-0.07622355758212507
Category2,0.09947389923036098,-0.7195943919941783,1,1,1,5.290528505632636,-0.09089645654894413,-0.011798833590000862
Category1,0.46701250365003943,0.253980556037277,1,1,1,2.8341664036642804,-0.05699994047172368,0.05456827185116708
Category2,-0.6336823767051101,0.17109156120568514,1,1,1,1.4625153593214077,-0.09185497518628837,-0.020599174313247204
Category1,0.7308161170221865,-0.4775151167996228,1,1,1,3.9706448766979068,0.08941218871623277,-0.0015808308031410034
Category2,-0.5901168822310865,-0.19366445438936353,1,1,1,2.4171499194182946,0.03570714467205108,-0.08237489913590253
Category1,0.9365173075348139,0.9075724887661636,1,1,1,1.3470430674911094,-0.06979610887356102,0.07968001728877425
Category2,-0.9755054567940533,-0.06030302541330457,1,1,1,1.8134288366542584,-0.08493026290088893,-0.08747901511378586
Category1,0.9616868733428419,-0.6350725390948355,1,1,1,4.509899144740621,-0.03021114747971297,0.028828108217567205
Category2,-0.006027544382959604,0.11791976820677519,1,1,1,5.105383890469416,0.04443479636684061,-0.0014146469067782136
Category1,-0.9266068153083324,0.17643396370112896,1,1,1,3.121673308158627,-0.06218686737120152,-0.04576804777607322
Category2,-0.5179572659544647,0.5806838306598365,1,1,1,5.190448819440717,0.016094887815415862,0.032788856932893407
Category1,0.07432067673653364,0.9567383253015578,1,1,1,6.252432538049269,-0.07839170433580876,0.029367893002927303
Category2,0.830798527225852,-0.9823745512403548,1,1,1,5.217040892675961,0.03301166491582991,0.0822106518317014
Category1,0.595932471100241,0.7298628217540681,1,1,1,3.380116166777991,-0.031323692854493865,0.0023639407474547597
