duration,category,src_bytes,dst_bytes,wrong_fragment,urgent
23050,,1121638664,341422047,2.001272107940167,9.070078431861475
43869,,799325792,1005201534,1.007658936548978,7.789182313717902
159,,1129734277,633910992,2.2242210968397558,4.843155117006972
6387,,1364782575,386768911,1.0014141583815217,11.106438923627138
47914,,1260246334,951691217,1.759610811714083,5.152716464595869
57790,,762744445,922909844,2.059336058329791,1.4982523180078715
9869,,1313587273,382004663,1.6153647601604462,10.599847388686612
57820,,199831165,1003299365,1.260882648639381,1.3787345504388213
4371,,972278481,153485408,2.9469297234900296,8.890432264422998
26790,,482915082,976808227,2.289943075273186,5.7358799749054015
11532,,336150368,223183434,1.436392864678055,6.253223908366635
17015,,42770412,1088283956,2.4625457488000393,13.071618540212512
33515,,954542053,299420301,2.618928449228406,10.170516916085035
38272,,1158743427,926605408,2.3135453406721354,6.865751394536346
37405,,1124110693,875614883,1.7338733109645545,10.591585197718814
29408,,508858205,34075878,2.711607107426971,1.7682061716914177
28510,,1007724441,496987590,2.7684156601317227,5.195656987139955
11122,,893578998,457593670,2.7751728631556034,6.385701827239245
57018,,186828821,349300910,1.6305458806455135,10.705601408146322
27282,,1218874456,1224601414,1.3852833649143577,11.524195993784815
29495,,357888930,719639337,2.1321113342419267,10.122903855284676
31507,,1150477093,1133529910,2.963532058522105,2.0001643681898713
58311,,694355446,622379667,1.890360910911113,2.3750645250547677
56562,,653132067,313514258,1.9462454677559435,4.535946935648099
53106,,996879989,749088945,1.092575112823397,7.681010853964835
43814,,1162576911,637644089,1.3091545016504824,12.460638298885897
24789,,250446636,407109073,1.9020133265294135,8.857195651391521
41486,,1059385103,474067192,1.4901495967060328,10.357249538879842
23269,,166637946,55494136,1.4860165347345173,10.328207971528172
13157,,970317783,346628700,2.677038785535842,3.80321549763903
16924,,1075262034,17552179,1.1059500677511096,10.75693586608395
49018,,520971583,138122025,2.3134498451836407,3.0150568769313395
58242,,1249513205,1169518031,2.7089560288004577,8.50079227448441
28875,,1274274727,1017857156,1.3305634837597609,3.2510964507237077
1718,,795391756,820430426,2.346120116766542,11.699796696892008
51894,,70387405,1035000547,1.6304803905077279,5.401505115907639
25240,,804715933,464019426,1.8211420383304358,9.969398861983791
17213,,1278227482,703142776,2.650525723118335,8.672720087924972
30117,,896364861,657588902,2.513968762010336,8.985045047709718
48212,,1378643601,1049085605,1.7643944430164993,2.9634863468818367
45189,,402603793,93897237,2.3896342711523175,2.6548324394971132
50924,,50882671,938055068,2.7666960046626627,5.499731947900727
